Activity_ID,Project_ID,Control_Account_ID,Work_Package_ID,Activity_Name,Activity_Type,Duration_Days,Baseline_Start,Baseline_Finish,Assumption_Basis,Recovery_Status
P02-A6c,P02,P02-CA04,P02-WP042,Electric Utility Coordination,Task,15,2025-02-03,2025-02-21,Synthetic reconstruction from approved realism audit; duration not preserved verbatim,Source-derived / reconstructed network
P02-A7a,P02,P02-CA04,P02-WP041,Pump/Motor Submittal & Shop Drawing Review,Task,20,2025-02-03,2025-02-28,Synthetic reconstruction from approved audit standard,Source-derived / reconstructed network
P02-A2,P02,P02-CA01,P02-WP012,Finalize Project Definition & Scope,Task,5,2025-02-17,2025-02-21,Project-type realism,Source-derived / reconstructed network
P02-A3,P02,P02-CA02,P02-WP021,Develop Preliminary Design,Task,20,2025-02-24,2025-03-21,Project-type realism,Source-derived / reconstructed network
P02-A8,P02,P02-CA04,P02-WP041,Install Temporary Bypass Pumping,Task,10,2025-02-24,2025-03-07,Approved P02 schedule,Source-derived / reconstructed network
P02-A11b,P02,P02-CA04,P02-WP042,Switchgear/VFD Fabrication,Task,80,2025-03-03,2025-06-20,Approved equipment-realistic scenario,Source-derived / reconstructed network
P02-A7b,P02,P02-CA04,P02-WP041,Pump/Motor Fabrication,Task,90,2025-03-03,2025-07-04,Approved equipment-realistic scenario,Source-derived / reconstructed network
P02-A9,P02,P02-CA04,P02-WP041,Demolition & Removal,Task,15,2025-03-10,2025-03-28,Approved P02 schedule,Source-derived / reconstructed network
P02-M3,P02,P02-CA04,P02-WP041,Bypass Operational,Milestone,0,2025-03-10,2025-03-10,Approved P02 milestone,Reconstructed date pending full executable-script recovery
P02-A4,P02,P02-CA02,P02-WP022,Complete Final Design,Task,25,2025-03-24,2025-04-25,Project-type realism,Source-derived / reconstructed network
P02-A13,P02,P02-CA04,P02-WP043,Wetwell Structural Rehabilitation,Task,20,2025-03-31,2025-04-25,Approved P02 schedule,Source-derived / reconstructed network
P02-A5,P02,P02-CA03,P02-WP031,Prepare & Advertise Bid Package,Task,15,2025-04-14,2025-05-02,Approved realism audit,Source-derived / reconstructed network
P02-A4b,P02,P02-CA02,P02-WP022,Regulatory Plan Review & Approval,Task,20,2025-04-28,2025-05-23,Synthetic reconstruction from approved realism audit; duration not preserved verbatim,Source-derived / reconstructed network
P02-M1,P02,P02-CA02,P02-WP022,Design Complete,Milestone,0,2025-04-28,2025-04-28,Approved P02 milestone,Reconstructed date pending full executable-script recovery
P02-A5b,P02,P02-CA03,P02-WP031,"Bid Evaluation, Selection & Award Recommendation",Task,10,2025-05-05,2025-05-16,Approved realism audit,Source-derived / reconstructed network
P02-M2,P02,P02-CA03,P02-WP032,Contract Award / NTP,Milestone,0,2025-06-02,2025-06-02,Approved P02 milestone,Reconstructed date pending full executable-script recovery
P02-A11c,P02,P02-CA04,P02-WP042,FAT — Switchgear/VFDs,Task,10,2025-06-23,2025-07-04,Approved realism audit,Source-derived / reconstructed network
P02-A11d,P02,P02-CA04,P02-WP042,Delivery & Receiving — Switchgear/VFDs,Task,8,2025-07-07,2025-07-16,Approved realism audit,Source-derived / reconstructed network
P02-A7c,P02,P02-CA04,P02-WP041,FAT — Pumps & Motors,Task,10,2025-07-07,2025-07-18,Approved realism audit,Source-derived / reconstructed network
P02-A12,P02,P02-CA04,P02-WP042,Install Switchgear / VFDs,Task,20,2025-07-17,2025-08-13,Approved P02 schedule,Source-derived / reconstructed network
P02-A7d,P02,P02-CA04,P02-WP041,Delivery & Receiving — Pumps & Motors,Task,8,2025-07-21,2025-07-30,Approved realism audit,Source-derived / reconstructed network
P02-A10,P02,P02-CA04,P02-WP041,Install New Pumps & Motors,Task,25,2025-07-31,2025-09-03,Approved P02 schedule,Source-derived / reconstructed network
P02-A14,P02,P02-CA05,P02-WP051,Startup & Functional Testing,Task,10,2025-09-04,2025-09-17,Approved P02 schedule,Source-derived / reconstructed network
P02-A15,P02,P02-CA05,P02-WP051,Bypass Deactivation / Cutover,Task,5,2025-09-18,2025-09-24,Approved P02 schedule,Source-derived / reconstructed network
P02-A15b,P02,P02-CA04,P02-WP041,Final Inspection & Punch List,Task,10,2025-09-25,2025-10-08,Approved realism audit,Source-derived / reconstructed network
P02-A16,P02,P02-CA06,P02-WP061,Documentation & Turnover,Task,10,2025-09-25,2025-10-08,Approved P02 schedule,Source-derived / reconstructed network
P02-A17,P02,P02-CA06,P02-WP062,Financial Closeout,Task,15,2025-10-09,2025-10-29,Approved P02 schedule,Source-derived / reconstructed network
P02-M4_SUB,P02,P02-CA05,P02-WP051,Substantial Completion,Milestone,0,2025-10-09,2025-10-09,Approved P02 milestone; renamed in recovered export to avoid collision with existing final milestone ID,Reconstructed date pending full executable-script recovery
P02-M5,P02,P02-CA04,P02-WP041,Final Completion,Milestone,0,2026-04-01,2026-04-01,Approved milestone / interface milestone,Source-explicit validated finish date
P03-A1,P03,P03-CA01,P03-WP011,Conduct Needs Assessment,Task,15,2025-01-02,2025-01-22,Project-type realism,Source-derived / reconstructed network
P03-A2,P03,P03-CA01,P03-WP012,Finalize Project Definition & Scope,Task,10,2025-01-23,2025-02-05,Project-type realism,Source-derived / reconstructed network
P03-A2b,P03,P03-CA02,P03-WP022,Regulatory Pre-Design Coordination,Task,10,2025-02-06,2025-02-19,Project-type realism,Source-derived / reconstructed network
P03-A3,P03,P03-CA02,P03-WP021,Preliminary Design (30%),Task,40,2025-02-20,2025-04-16,"Synthetic, industry-informed",Source-derived / reconstructed network
P03-A4,P03,P03-CA02,P03-WP021,Design Review Gate 1 (30% review & comment resolution),Task,15,2025-04-17,2025-05-07,Project-type realism,Source-derived / reconstructed network
P03-A5,P03,P03-CA02,P03-WP022,60%/90% Design Development,Task,30,2025-05-08,2025-06-18,"Synthetic, industry-informed",Source-derived / reconstructed network
P03-A6,P03,P03-CA02,P03-WP022,Design Review Gate 2 (90% review & comment resolution),Task,15,2025-06-19,2025-07-09,Project-type realism,Source-derived / reconstructed network
P03-A7,P03,P03-CA02,P03-WP022,Final Design (100%),Task,20,2025-07-10,2025-08-06,"Synthetic, industry-informed",Source-derived / reconstructed network
P03-I-P03-01,P03,P03-CA04,P03-WP042,Controls / I/O Design Freeze,Milestone,0,2025-07-23,2025-07-23,Approved milestone / interface milestone,Source-explicit milestone date
P03-M1,P03,P03-CA04,P03-WP041,Design Complete,Milestone,0,2025-07-23,2025-07-23,Approved milestone / interface milestone,Source-explicit milestone date
P03-A8,P03,P03-CA03,P03-WP031,Prepare & Advertise Bid Package,Task,20,2025-07-24,2025-08-20,Project-type realism,Source-derived / reconstructed network
P03-A7b,P03,P03-CA02,P03-WP022,Regulatory Plan Review & Approval,Task,30,2025-08-07,2025-09-17,"Synthetic, industry-informed",Source-derived / reconstructed network
P03-A9,P03,P03-CA03,P03-WP031,"Bid Evaluation, Selection & Award Recommendation",Task,15,2025-08-21,2025-09-10,Project-type realism,Source-derived / reconstructed network
P03-A9b,P03,P03-CA03,P03-WP032,Governing Body Award Approval,Task,15,2025-09-11,2025-10-01,Approved P03 v2 explicit replacement for +15bd lag,Source-derived / reconstructed network
P03-M2,P03,P03-CA04,P03-WP041,Contract Award / NTP,Milestone,0,2025-10-01,2025-10-01,Approved milestone / interface milestone,Source-explicit milestone date
P03-A10,P03,P03-CA03,P03-WP032,Contractor Mobilization,Task,20,2025-10-02,2025-10-29,Project-type realism,Source-derived / reconstructed network
P03-A11,P03,P03-CA04,P03-WP041,Process Equipment Submittal & Shop Drawing Review,Task,20,2025-10-02,2025-10-29,Project-type realism,Source-derived / reconstructed network
P03-A16,P03,P03-CA04,P03-WP042,Electrical/I&C Submittal & Shop Drawing Review,Task,20,2025-10-02,2025-10-29,Project-type realism,Source-derived / reconstructed network
P03-A21,P03,P03-CA04,P03-WP043,Chemical Feed Equipment Submittal & Review,Task,15,2025-10-02,2025-10-22,Project-type realism,Source-derived / reconstructed network
P03-A22,P03,P03-CA04,P03-WP043,Chemical Feed Equipment Fabrication,Task,50,2025-10-23,2025-12-31,"Synthetic, industry-informed",Source-derived / reconstructed network
P03-I-P03-02,P03,P03-CA04,P03-WP041,Approved Point List Available,Milestone,0,2025-10-29,2025-10-29,Approved milestone / interface milestone,Source-explicit milestone date
P03-A12,P03,P03-CA04,P03-WP041,Process Equipment Fabrication,Task,100,2025-10-30,2026-03-18,"Synthetic, industry-informed",Source-derived / reconstructed network
P03-A17,P03,P03-CA04,P03-WP042,Electrical Switchgear & Instrumentation Fabrication,Task,80,2025-10-30,2026-02-18,"Synthetic, industry-informed",Source-derived / reconstructed network
P03-A23,P03,P03-CA04,P03-WP043,Delivery & Receiving Inspection — Chemical Feed,Task,8,2026-01-01,2026-01-12,Project-type realism,Source-derived / reconstructed network
P03-A18,P03,P03-CA04,P03-WP042,FAT — Electrical/I&C,Task,10,2026-02-19,2026-03-04,Project-type realism,Source-derived / reconstructed network
P03-A19,P03,P03-CA04,P03-WP042,Delivery & Receiving Inspection — Electrical/I&C,Task,8,2026-03-05,2026-03-16,Project-type realism,Source-derived / reconstructed network
P03-A13,P03,P03-CA04,P03-WP041,FAT — Process Equipment,Task,15,2026-03-19,2026-04-08,Project-type realism,Source-derived / reconstructed network
P03-A14,P03,P03-CA04,P03-WP041,Delivery & Receiving Inspection — Process Equipment,Task,10,2026-04-09,2026-04-22,Project-type realism,Source-derived / reconstructed network
P03-M5,P03,P03-CA04,P03-WP041,Major Process Equipment Delivered,Milestone,0,2026-04-22,2026-04-22,Approved milestone / interface milestone,Source-explicit milestone date
P03-A15,P03,P03-CA04,P03-WP041,Process Mechanical Installation,Task,60,2026-04-23,2026-07-15,"Synthetic, industry-informed",Source-derived / reconstructed network
P03-A20,P03,P03-CA04,P03-WP042,Electrical & Instrumentation Installation,Task,45,2026-05-21,2026-07-22,"Synthetic, industry-informed",Source-derived / reconstructed network
P03-A24,P03,P03-CA04,P03-WP043,Chemical Feed System Installation,Task,25,2026-06-04,2026-07-08,"Synthetic, industry-informed",Source-derived / reconstructed network
P03-A25,P03,P03-CA04,P03-WP042,Electrical & Controls Integration,Task,20,2026-07-23,2026-08-19,Project-type realism,Source-derived / reconstructed network
P03-A26,P03,P03-CA05,P03-WP051,Pre-Startup Inspection & Punch List,Task,15,2026-08-20,2026-09-09,Project-type realism,Source-derived / reconstructed network
P03-I-P03-03,P03,P03-CA04,P03-WP042,Controls Installation Ready for Integration,Milestone,0,2026-09-09,2026-09-09,Approved milestone / interface milestone,Source-explicit milestone date
P03-M6,P03,P03-CA05,P03-WP051,Installation Complete / Ready for Startup,Milestone,0,2026-09-09,2026-09-09,Approved milestone / interface milestone,Source-explicit milestone date
P03-A27,P03,P03-CA05,P03-WP051,Process Startup & Functional Testing,Task,30,2026-09-10,2026-10-21,Project-type realism,Source-derived / reconstructed network
P03-A29,P03,P03-CA04,P03-WP041,SCADA Integration Checkout,Task,15,2026-09-24,2026-10-14,Project-type realism,Source-derived / reconstructed network
P03-M7,P03,P03-CA05,P03-WP051,Process Startup Complete,Milestone,0,2026-10-21,2026-10-21,Approved milestone / interface milestone,Source-explicit milestone date
P03-A28,P03,P03-CA05,P03-WP051,Performance / Acceptance Testing,Task,20,2026-10-22,2026-11-18,Project-type realism,Source-derived / reconstructed network
P03-M8,P03,P03-CA05,P03-WP051,Performance Testing Complete,Milestone,0,2026-11-18,2026-11-18,Approved milestone / interface milestone,Source-explicit milestone date
P03-A30,P03,P03-CA02,P03-WP022,Regulatory Acceptance / Final Inspection,Task,20,2026-11-19,2026-12-16,Project-type realism,Source-derived / reconstructed network
P03-M3,P03,P03-CA04,P03-WP041,Substantial Completion,Milestone,0,2026-12-16,2026-12-16,Approved milestone / interface milestone,Source-explicit milestone date
P03-M9,P03,P03-CA02,P03-WP022,Regulatory Acceptance,Milestone,0,2026-12-16,2026-12-16,Approved milestone / interface milestone,Source-explicit milestone date
P03-A31,P03,P03-CA06,P03-WP061,Final Inspection & Punch List (closeout),Task,15,2026-12-17,2027-01-06,Project-type realism,Source-derived / reconstructed network
P03-A32,P03,P03-CA06,P03-WP061,Documentation & Turnover,Task,20,2026-12-17,2027-01-13,Project-type realism,Source-derived / reconstructed network
P03-A33,P03,P03-CA06,P03-WP062,Financial Closeout,Task,20,2027-01-14,2027-02-10,Project-type realism,Source-derived / reconstructed network
P03-M4,P03,P03-CA04,P03-WP041,Final Completion,Milestone,0,2027-02-17,2027-02-17,Approved milestone / interface milestone,Source-explicit milestone date
P04-A1,P04,P04-CA01,P04-WP011,Conduct Needs Assessment,Task,10,2025-06-02,2025-06-13,Project-type realism,Source-derived / reconstructed network
P04-A2,P04,P04-CA01,P04-WP012,Finalize Project Definition & Scope,Task,5,2025-06-16,2025-06-20,Project-type realism,Source-derived / reconstructed network
P04-A3,P04,P04-CA02,P04-WP021,Preliminary Design (30%),Task,20,2025-06-23,2025-07-18,Project-type realism,Source-derived / reconstructed network
P04-A4,P04,P04-CA02,P04-WP022,Final Design (100%),Task,25,2025-08-04,2025-09-05,"Synthetic, industry-informed; +10bd review lag in logic",Source-derived / reconstructed network
P04-A5,P04,P04-CA03,P04-WP031,Prepare & Advertise Bid Package,Task,15,2025-08-18,2025-09-05,Project-type realism,Source-derived / reconstructed network
P04-M1,P04,P04-CA04,P04-WP041,Design Complete,Milestone,0,2025-09-05,2025-09-05,Approved milestone / interface milestone,Source-explicit milestone date
P04-A4b,P04,P04-CA02,P04-WP022,Regulatory Plan Review & Approval,Task,15,2025-09-08,2025-09-26,Project-type realism,Source-derived / reconstructed network
P04-A5b,P04,P04-CA03,P04-WP031,"Bid Evaluation, Selection & Award Recommendation",Task,10,2025-09-08,2025-09-19,Project-type realism,Source-derived / reconstructed network
P04-A5c,P04,P04-CA03,P04-WP032,Governing Body Award Approval,Task,10,2025-09-22,2025-10-03,Project-type realism,Source-derived / reconstructed network
P04-M2,P04,P04-CA04,P04-WP041,Contract Award / NTP,Milestone,0,2025-10-24,2025-10-24,Approved milestone / interface milestone,Source-explicit milestone date
P04-A6,P04,P04-CA03,P04-WP032,Contractor Mobilization,Task,10,2025-10-27,2025-11-07,Project-type realism,Source-derived / reconstructed network
P04-A7,P04,P04-CA04,P04-WP041,Tank Shutdown & Dewatering Planning,Task,15,2025-10-27,2025-11-14,Project-type realism,Source-derived / reconstructed network
P04-A8,P04,P04-CA04,P04-WP041,Take Tank Offline & Dewater,Task,5,2025-11-17,2025-11-21,Project-type realism,Source-derived / reconstructed network
P04-A9,P04,P04-CA04,P04-WP041,Interior/Exterior Surface Preparation (abrasive blasting),Task,15,2025-11-24,2025-12-12,Project-type realism,Source-derived / reconstructed network
P04-A10,P04,P04-CA04,P04-WP042,Structural Steel Repairs,Task,10,2025-12-15,2025-12-26,Project-type realism,Source-derived / reconstructed network
P04-A11,P04,P04-CA04,P04-WP043,Cathodic Protection System Installation,Task,15,2025-12-29,2026-01-16,Project-type realism,Source-derived / reconstructed network
P04-A12,P04,P04-CA04,P04-WP041,Interior/Exterior Coating Application,Task,20,2026-01-19,2026-02-13,"Synthetic, industry-informed",Source-derived / reconstructed network
P04-A13,P04,P04-CA04,P04-WP041,Coating Cure Time,Task,10,2026-02-16,2026-02-27,Synthetic project-specific planning assumption,Source-derived / reconstructed network
P04-A14,P04,P04-CA04,P04-WP041,Refill & Disinfection,Task,5,2026-03-02,2026-03-06,Project-type realism,Source-derived / reconstructed network
P04-A15,P04,P04-CA02,P04-WP022,Bacteriological Sampling & Regulatory Clearance,Task,5,2026-03-09,2026-03-13,Project-type realism,Source-derived / reconstructed network
P04-M5,P04,P04-CA04,P04-WP041,Major Process Equipment Delivered,Milestone,0,2026-03-13,2026-03-13,Approved milestone / interface milestone,Source-explicit milestone date
P04-A16,P04,P04-CA04,P04-WP041,Final Inspection & Punch List,Task,10,2026-03-16,2026-03-27,Project-type realism,Source-derived / reconstructed network
P04-M3,P04,P04-CA04,P04-WP041,Substantial Completion,Milestone,0,2026-03-27,2026-03-27,Approved milestone / interface milestone,Source-explicit milestone date
P04-A17,P04,P04-CA06,P04-WP061,Documentation & Turnover,Task,10,2026-03-30,2026-04-10,Project-type realism,Source-derived / reconstructed network
P04-A18,P04,P04-CA06,P04-WP062,Financial Closeout,Task,15,2026-04-13,2026-05-01,Project-type realism,Source-derived / reconstructed network
P04-M4,P04,P04-CA04,P04-WP041,Final Completion,Milestone,0,2026-04-24,2026-04-24,Approved milestone / interface milestone,Source-explicit milestone date
P05-A1,P05,P05-CA01,P05-WP011,Lead Service Line Inventory Review & Prioritization,Task,15,2025-03-03,2025-03-21,Project-type realism,Source-derived / reconstructed network
P05-A2,P05,P05-CA01,P05-WP012,Project Definition & Zone/Batch Plan Development,Task,10,2025-03-24,2025-04-04,Project-type realism,Source-derived / reconstructed network
P05-A3,P05,P05-CA02,P05-WP021,Preliminary Design — Typical Replacement Details & Specs (30%),Task,15,2025-04-07,2025-04-25,Project-type realism,Source-derived / reconstructed network
P05-A4,P05,P05-CA02,P05-WP022,Final Design — Standard Specs & Bid Documents (100%),Task,15,2025-05-05,2025-05-23,Project-type realism; +5bd review lag in logic,Source-derived / reconstructed network
P05-A5,P05,P05-CA03,P05-WP031,Bid Advertisement,Task,15,2025-05-19,2025-06-06,Project-type realism,Source-derived / reconstructed network
P05-M1,P05,P05-CA04,P05-WP041,Design Complete,Milestone,0,2025-05-23,2025-05-23,Approved milestone / interface milestone,Source-explicit milestone date
P05-A4b,P05,P05-CA02,P05-WP022,Regulatory Plan Review & Approval,Task,15,2025-05-26,2025-06-13,Project-type realism,Source-derived / reconstructed network
P05-A5b,P05,P05-CA03,P05-WP031,Evaluation & Award Recommendation,Task,10,2025-06-09,2025-06-20,Project-type realism,Source-derived / reconstructed network
P05-A5c,P05,P05-CA03,P05-WP032,Governing Body Approval,Task,10,2025-06-23,2025-07-04,Project-type realism,Source-derived / reconstructed network
P05-M2,P05,P05-CA04,P05-WP041,Contract Award / NTP,Milestone,0,2025-07-11,2025-07-11,Approved milestone / interface milestone,Source-explicit milestone date
P05-A10,P05,P05-CA02,P05-WP022,Street Opening / Right-of-Way Permitting (program-wide),Task,15,2025-07-14,2025-08-01,Project-type realism,Source-derived / reconstructed network
P05-A11,P05,P05-CA04,P05-WP041,Material Procurement — Copper Tubing & Fittings,Task,30,2025-07-14,2025-08-22,"Synthetic, industry-informed",Source-derived / reconstructed network
P05-A6,P05,P05-CA03,P05-WP032,Contractor Mobilization (multi-crew),Task,15,2025-07-14,2025-08-01,Project-type realism,Source-derived / reconstructed network
P05-A7,P05,P05-CA04,P05-WP041,Customer/Property Outreach Campaign (program-wide),Task,40,2025-07-14,2025-09-05,"Synthetic, industry-informed",Source-derived / reconstructed network
P05-A8,P05,P05-CA05,P05-WP051,Property Eligibility & Service Line Material Verification,Task,30,2025-08-04,2025-09-12,Project-type realism,Source-derived / reconstructed network
P05-MFIRST,P05,P05-CA04,P05-WP041,MFIRST,Milestone,0,2025-08-26,2025-08-26,Approved milestone / interface milestone,Source-explicit milestone date
P05-A9,P05,P05-CA04,P05-WP041,Access/Consent Coordination & Scheduling,Task,20,2025-09-15,2025-10-10,Project-type realism,Source-derived / reconstructed network
P05-A12a,P05,P05-CA04,P05-WP041,Zone A Field Replacement,Task,55,2025-10-13,2025-12-26,"Synthetic, industry-informed",Source-derived / reconstructed network
P05-AFIRST,P05,P05-CA04,P05-WP041,Complete First Service Line Replacement,Task,2,2025-10-13,2025-10-14,Approved P05 v2 explicit completed-scope activity,Source-derived / reconstructed network
P05-A12b,P05,P05-CA04,P05-WP042,Zone A Property Restoration,Task,55,2025-11-03,2026-01-16,Project-type realism,Source-derived / reconstructed network
P05-M25,P05,P05-CA04,P05-WP041,M25,Milestone,0,2025-11-07,2025-11-07,Approved milestone / interface milestone,Source-explicit milestone date
P05-A13a,P05,P05-CA04,P05-WP041,Zone B Field Replacement,Task,55,2025-11-10,2026-01-23,"Synthetic, industry-informed",Source-derived / reconstructed network
P05-A13b,P05,P05-CA04,P05-WP042,Zone B Property Restoration,Task,55,2025-12-01,2026-02-13,Project-type realism,Source-derived / reconstructed network
P05-M50,P05,P05-CA04,P05-WP041,M50,Milestone,0,2025-12-05,2025-12-05,Approved milestone / interface milestone,Source-explicit milestone date
P05-A14a,P05,P05-CA04,P05-WP041,Zone C Field Replacement,Task,55,2025-12-08,2026-02-20,"Synthetic, industry-informed",Source-derived / reconstructed network
P05-A14b,P05,P05-CA04,P05-WP042,Zone C Property Restoration,Task,55,2025-12-29,2026-03-13,Project-type realism,Source-derived / reconstructed network
P05-M75,P05,P05-CA04,P05-WP041,M75,Milestone,0,2026-01-02,2026-01-02,Approved milestone / interface milestone,Source-explicit milestone date
P05-A15a,P05,P05-CA04,P05-WP041,Zone D Field Replacement,Task,55,2026-01-05,2026-03-20,"Synthetic, industry-informed",Source-derived / reconstructed network
P05-A12c,P05,P05-CA05,P05-WP051,Zone A Water Quality Sampling & Customer Notification,Task,15,2026-01-19,2026-02-06,Project-type realism; remapped to Testing & Commissioning,Source-derived / reconstructed network
P05-A15b,P05,P05-CA04,P05-WP042,Zone D Property Restoration,Task,55,2026-01-26,2026-04-10,Project-type realism,Source-derived / reconstructed network
P05-MTARGET,P05,P05-CA04,P05-WP041,MTARGET,Milestone,0,2026-01-30,2026-01-30,Approved milestone / interface milestone,Source-explicit milestone date
P05-A13c,P05,P05-CA05,P05-WP051,Zone B Water Quality Sampling & Customer Notification,Task,15,2026-02-16,2026-03-06,Project-type realism; remapped to Testing & Commissioning,Source-derived / reconstructed network
P05-A14c,P05,P05-CA05,P05-WP051,Zone C Water Quality Sampling & Customer Notification,Task,15,2026-03-16,2026-04-03,Project-type realism; remapped to Testing & Commissioning,Source-derived / reconstructed network
P05-M3,P05,P05-CA04,P05-WP041,Substantial Completion,Milestone,0,2026-04-03,2026-04-03,Approved milestone / interface milestone,Source-explicit milestone date
P05-A15c,P05,P05-CA05,P05-WP051,Zone D Water Quality Sampling & Customer Notification,Task,15,2026-04-13,2026-05-01,Project-type realism; remapped to Testing & Commissioning,Source-derived / reconstructed network
P05-A16,P05,P05-CA04,P05-WP041,Final Program Inspection & Punch List,Task,15,2026-05-04,2026-05-22,Project-type realism,Source-derived / reconstructed network
P05-M4,P05,P05-CA04,P05-WP041,Final Completion,Milestone,0,2026-05-15,2026-05-15,Approved milestone / interface milestone,Source-explicit milestone date
P05-A17,P05,P05-CA01,P05-WP011,GIS & Service Line Inventory Records Update / Documentation & Turnover,Task,20,2026-05-25,2026-06-19,Project-type realism,Source-derived / reconstructed network
P05-A18,P05,P05-CA06,P05-WP062,Financial Closeout,Task,20,2026-06-22,2026-07-17,Project-type realism,Source-derived / reconstructed network
P06-A1,P06,P06-CA01,P06-WP011,Needs Assessment,Task,15,2025-08-01,2025-08-21,Project-type realism,Source-derived / reconstructed network
