Activity_ID,Project_ID,Control_Account_ID,Work_Package_ID,WBS_Code,Activity_Name,Activity_Type,Duration_Days,Baseline_Start,Baseline_Finish,Assumption_Basis,Recovery_Status,Prior_Approved_or_Reconstructed_Start,Prior_Approved_or_Reconstructed_Finish,Early_Start,Early_Finish,Late_Start,Late_Finish,Total_Float_Days,Critical_Flag
P01-A5,P01,P01-CA03,P01-WP031,1.01.3.1,Prepare & Advertise Bid Package,Task,15,2025-03-27,2025-04-16,Approved realism audit,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-03-27,2025-04-16,2025-03-27,2025-04-16,2025-03-27,2025-04-16,0,TRUE
P01-A9,P01,P01-CA04,P01-WP042,1.01.4.2,Install Valves & Hydrant Tie-Ins,Task,15,2025-08-19,2025-09-08,Approved P01 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-04-08,2025-04-28,2025-08-19,2025-09-08,2025-09-16,2025-10-06,20,FALSE
P01-A4b,P01,P01-CA02,P01-WP022,1.01.2.2,Regulatory Plan Review & Approval,Task,15,2025-04-10,2025-04-30,PROVISIONAL SYNTHETIC (user approved for planning only); exact original audit duration unavailable; retained 15 business days,"USER-APPROVED PROVISIONAL SYNTHETIC DURATION; NOT SOURCE RECOVERED | APPROVED PROVISIONAL SYNTHETIC DURATION; NOT SOURCE-RECOVERED; DATE/NETWORK NOT BASELINE-APPROVED | Scenario dates calculated from reconstructed logic, not source recovered",2025-04-10,2025-04-30,2025-04-10,2025-04-30,2025-04-24,2025-05-14,10,FALSE
P01-M1,P01,P01-CA02,P01-WP022,1.01.2.2,Design Complete,Milestone,0,2025-04-09,2025-04-09,Approved standard milestone; exact milestone date reconstructed from final network,"UNRESOLVED: milestone depends on reconstructed P01/P02 network; exact approved date not recoverable from available source | Scenario dates calculated from reconstructed logic, not source recovered",2025-04-10,2025-04-10,2025-04-09,2025-04-09,2025-12-29,2025-12-29,188,FALSE
P01-A9b,P01,P01-CA04,P01-WP042,1.01.4.2,Shutdown Planning & Operations Coordination,Task,10,2025-08-26,2025-09-08,PROVISIONAL SYNTHETIC (user approved for planning only); exact original audit duration unavailable; retained 10 business days,"USER-APPROVED PROVISIONAL SYNTHETIC DURATION; NOT SOURCE RECOVERED | APPROVED PROVISIONAL SYNTHETIC DURATION; NOT SOURCE-RECOVERED; DATE/NETWORK NOT BASELINE-APPROVED | Scenario dates calculated from reconstructed logic, not source recovered",2025-04-15,2025-04-28,2025-08-26,2025-09-08,2025-09-23,2025-10-06,20,FALSE
P01-A5b,P01,P01-CA03,P01-WP031,1.01.3.1,"Bid Evaluation, Selection & Award Recommendation",Task,10,2025-04-17,2025-04-30,Approved realism audit,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-04-17,2025-04-30,2025-04-17,2025-04-30,2025-04-17,2025-04-30,0,TRUE
P01-M2,P01,P01-CA03,P01-WP032,1.01.3.2,Contract Award / NTP,Milestone,0,2025-05-14,2025-05-14,Approved standard milestone; exact milestone date reconstructed from final network,"UNRESOLVED: milestone depends on reconstructed P01/P02 network; exact approved date not recoverable from available source | Scenario dates calculated from reconstructed logic, not source recovered",2025-05-15,2025-05-15,2025-05-14,2025-05-14,2025-05-14,2025-05-14,0,TRUE
P01-A11,P01,P01-CA05,P01-WP051,1.01.5.1,Pressure Testing & Disinfection,Task,5,2025-10-07,2025-10-13,Approved P01 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-05-27,2025-06-02,2025-10-07,2025-10-13,2025-10-07,2025-10-13,0,TRUE
P01-A12,P01,P01-CA02,P01-WP022,1.01.2.2,Bacteriological Sampling & Regulatory Clearance,Task,5,2025-10-14,2025-10-20,Approved P01 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-06-03,2025-06-09,2025-10-14,2025-10-20,2025-10-14,2025-10-20,0,TRUE
P01-A10,P01,P01-CA04,P01-WP043,1.01.4.3,Pavement & Surface Restoration,Task,15,2025-10-21,2025-11-10,Approved P01 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-06-10,2025-06-30,2025-10-21,2025-11-10,2025-10-21,2025-11-10,0,TRUE
P01-A13,P01,P01-CA06,P01-WP061,1.01.6.1,Documentation & Turnover,Task,10,2025-11-25,2025-12-08,Approved P01 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered | PROPOSED AFTER SUBSTANTIAL COMPLETION: final turnover -> financial closeout -> final completion (not original-source recovered)",2025-06-10,2025-06-23,2025-11-25,2025-12-08,2025-11-25,2025-12-08,0,TRUE
P01-A14,P01,P01-CA06,P01-WP062,1.01.6.2,Financial Closeout,Task,15,2025-12-09,2025-12-29,Approved P01 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered | PROPOSED AFTER SUBSTANTIAL COMPLETION: final turnover -> financial closeout -> final completion (not original-source recovered)",2025-06-24,2025-07-14,2025-12-09,2025-12-29,2025-12-09,2025-12-29,0,TRUE
P01-A15,P01,P01-CA04,P01-WP041,1.01.4.1,Final Inspection & Punch List,Task,10,2025-11-11,2025-11-24,PROVISIONAL SYNTHETIC (user approved for planning only); exact original audit duration unavailable; retained 10 business days,"USER-APPROVED PROVISIONAL SYNTHETIC DURATION; NOT SOURCE RECOVERED | APPROVED PROVISIONAL SYNTHETIC DURATION; NOT SOURCE-RECOVERED; DATE/NETWORK NOT BASELINE-APPROVED | Scenario dates calculated from reconstructed logic, not source recovered",2025-07-01,2025-07-14,2025-11-11,2025-11-24,2025-11-11,2025-11-24,0,TRUE
P01-M3,P01,P01-CA05,P01-WP051,1.01.5.1,Substantial Completion,Milestone,0,2025-11-24,2025-11-24,Approved standard milestone; exact milestone date reconstructed from final network,"UNRESOLVED: milestone depends on reconstructed P01/P02 network; exact approved date not recoverable from available source | Scenario dates calculated from reconstructed logic, not source recovered",2025-07-15,2025-07-15,2025-11-24,2025-11-24,2025-11-24,2025-11-24,0,TRUE
P01-M4,P01,P01-CA04,P01-WP041,1.01.4.1,Final Completion,Milestone,0,2025-12-29,2025-12-29,Approved milestone / interface milestone,"Source-explicit validated finish date | Scenario dates calculated from reconstructed logic, not source recovered | PROPOSED AFTER SUBSTANTIAL COMPLETION: final turnover -> financial closeout -> final completion (not original-source recovered)",2026-01-05,2026-01-05,2025-12-29,2025-12-29,2025-12-29,2025-12-29,0,TRUE
P02-A1,P02,P02-CA01,P02-WP011,1.02.1.1,Conduct Needs Assessment,Task,10,2025-02-03,2025-02-14,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-02-03,2025-02-14,2025-02-03,2025-02-14,2025-02-03,2025-02-14,0,TRUE
P02-A11a,P02,P02-CA04,P02-WP042,1.02.4.2,Switchgear/VFD Submittal & Shop Drawing Review,Task,20,2025-06-02,2025-06-27,Synthetic reconstruction from approved audit standard,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-02-03,2025-02-28,2025-06-02,2025-06-27,2025-06-23,2025-07-18,15,FALSE
P02-A6,P02,P02-CA03,P02-WP032,1.02.3.2,Contractor Mobilization,Task,10,2025-06-02,2025-06-13,Approved P02 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-02-03,2025-02-14,2025-06-02,2025-06-13,2025-10-09,2025-10-22,93,FALSE
P02-A6b,P02,P02-CA04,P02-WP041,1.02.4.1,Bypass Planning & Operations Coordination,Task,15,2025-02-03,2025-02-21,PROVISIONAL SYNTHETIC (user approved for planning only); exact original audit duration unavailable; retained 15 business days,"USER-APPROVED PROVISIONAL SYNTHETIC DURATION; NOT SOURCE RECOVERED | APPROVED PROVISIONAL SYNTHETIC DURATION; NOT SOURCE-RECOVERED; DATE/NETWORK NOT BASELINE-APPROVED | Scenario dates calculated from reconstructed logic, not source recovered",2025-02-03,2025-02-21,2025-02-03,2025-02-21,2025-10-02,2025-10-22,173,FALSE
P02-A6c,P02,P02-CA04,P02-WP042,1.02.4.2,Electric Utility Coordination,Task,15,2025-02-03,2025-02-21,PROVISIONAL SYNTHETIC (user approved for planning only); exact original audit duration unavailable; retained 15 business days,"USER-APPROVED PROVISIONAL SYNTHETIC DURATION; NOT SOURCE RECOVERED | APPROVED PROVISIONAL SYNTHETIC DURATION; NOT SOURCE-RECOVERED; DATE/NETWORK NOT BASELINE-APPROVED | Scenario dates calculated from reconstructed logic, not source recovered",2025-02-03,2025-02-21,2025-02-03,2025-02-21,2025-11-13,2025-12-03,203,FALSE
P02-A7a,P02,P02-CA04,P02-WP041,1.02.4.1,Pump/Motor Submittal & Shop Drawing Review,Task,20,2025-06-02,2025-06-27,Synthetic reconstruction from approved audit standard,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-02-03,2025-02-28,2025-06-02,2025-06-27,2025-06-02,2025-06-27,0,TRUE
P02-A2,P02,P02-CA01,P02-WP012,1.02.1.2,Finalize Project Definition & Scope,Task,5,2025-02-17,2025-02-21,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-02-17,2025-02-21,2025-02-17,2025-02-21,2025-02-17,2025-02-21,0,TRUE
P02-A3,P02,P02-CA02,P02-WP021,1.02.2.1,Develop Preliminary Design,Task,20,2025-02-24,2025-03-21,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-02-24,2025-03-21,2025-02-24,2025-03-21,2025-02-24,2025-03-21,0,TRUE
P02-A8,P02,P02-CA04,P02-WP041,1.02.4.1,Install Temporary Bypass Pumping,Task,10,2025-06-16,2025-06-27,Approved P02 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-02-24,2025-03-07,2025-06-16,2025-06-27,2025-10-23,2025-11-05,93,FALSE
P02-A11b,P02,P02-CA04,P02-WP042,1.02.4.2,Switchgear/VFD Fabrication,Task,80,2025-06-30,2025-10-17,Approved equipment-realistic scenario,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-03-03,2025-06-20,2025-06-30,2025-10-17,2025-07-21,2025-11-07,15,FALSE
P02-A7b,P02,P02-CA04,P02-WP041,1.02.4.1,Pump/Motor Fabrication,Task,90,2025-06-30,2025-10-31,Approved equipment-realistic scenario,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-03-03,2025-07-04,2025-06-30,2025-10-31,2025-06-30,2025-10-31,0,TRUE
P02-A9,P02,P02-CA04,P02-WP041,1.02.4.1,Demolition & Removal,Task,15,2025-06-30,2025-07-18,Approved P02 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-03-10,2025-03-28,2025-06-30,2025-07-18,2025-11-06,2025-11-26,93,FALSE
P02-M3,P02,P02-CA04,P02-WP041,1.02.4.1,Bypass Operational,Milestone,0,2025-06-27,2025-06-27,Approved P02 milestone,"UNRESOLVED: milestone depends on reconstructed P01/P02 network; exact approved date not recoverable from available source | Scenario dates calculated from reconstructed logic, not source recovered",2025-03-10,2025-03-10,2025-06-27,2025-06-27,2026-02-25,2026-02-25,173,FALSE
P02-A4,P02,P02-CA02,P02-WP022,1.02.2.2,Complete Final Design,Task,25,2025-03-24,2025-04-25,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-03-24,2025-04-25,2025-03-24,2025-04-25,2025-03-24,2025-04-25,0,TRUE
P02-A13,P02,P02-CA04,P02-WP043,1.02.4.3,Wetwell Structural Rehabilitation,Task,20,2025-07-21,2025-08-15,Approved P02 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-03-31,2025-04-25,2025-07-21,2025-08-15,2025-12-04,2025-12-31,98,FALSE
P02-A5,P02,P02-CA03,P02-WP031,1.02.3.1,Prepare & Advertise Bid Package,Task,15,2025-04-14,2025-05-02,Approved realism audit,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-04-14,2025-05-02,2025-04-14,2025-05-02,2025-04-14,2025-05-02,0,TRUE
P02-A4b,P02,P02-CA02,P02-WP022,1.02.2.2,Regulatory Plan Review & Approval,Task,20,2025-04-28,2025-05-23,PROVISIONAL SYNTHETIC (user approved for planning only); exact original audit duration unavailable; retained 20 business days,"USER-APPROVED PROVISIONAL SYNTHETIC DURATION; NOT SOURCE RECOVERED | APPROVED PROVISIONAL SYNTHETIC DURATION; NOT SOURCE-RECOVERED; DATE/NETWORK NOT BASELINE-APPROVED | Scenario dates calculated from reconstructed logic, not source recovered",2025-04-28,2025-05-23,2025-04-28,2025-05-23,2025-05-05,2025-05-30,5,FALSE
P02-M1,P02,P02-CA02,P02-WP022,1.02.2.2,Design Complete,Milestone,0,2025-04-25,2025-04-25,Approved P02 milestone,"UNRESOLVED: milestone depends on reconstructed P01/P02 network; exact approved date not recoverable from available source | Scenario dates calculated from reconstructed logic, not source recovered",2025-04-28,2025-04-28,2025-04-25,2025-04-25,2026-02-25,2026-02-25,218,FALSE
P02-A5b,P02,P02-CA03,P02-WP031,1.02.3.1,"Bid Evaluation, Selection & Award Recommendation",Task,10,2025-05-05,2025-05-16,Approved realism audit,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-05-05,2025-05-16,2025-05-05,2025-05-16,2025-05-05,2025-05-16,0,TRUE
P02-M2,P02,P02-CA03,P02-WP032,1.02.3.2,Contract Award / NTP,Milestone,0,2025-05-30,2025-05-30,Approved P02 milestone,"UNRESOLVED: milestone depends on reconstructed P01/P02 network; exact approved date not recoverable from available source | Scenario dates calculated from reconstructed logic, not source recovered",2025-06-02,2025-06-02,2025-05-30,2025-05-30,2025-05-30,2025-05-30,0,TRUE
P02-A11c,P02,P02-CA04,P02-WP042,1.02.4.2,FAT — Switchgear/VFDs,Task,10,2025-10-20,2025-10-31,Approved realism audit,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-06-23,2025-07-04,2025-10-20,2025-10-31,2025-11-10,2025-11-21,15,FALSE
P02-A11d,P02,P02-CA04,P02-WP042,1.02.4.2,Delivery & Receiving — Switchgear/VFDs,Task,8,2025-11-03,2025-11-12,Approved realism audit,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-07-07,2025-07-16,2025-11-03,2025-11-12,2025-11-24,2025-12-03,15,FALSE
P02-A7c,P02,P02-CA04,P02-WP041,1.02.4.1,FAT — Pumps & Motors,Task,10,2025-11-03,2025-11-14,Approved realism audit,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-07-07,2025-07-18,2025-11-03,2025-11-14,2025-11-03,2025-11-14,0,TRUE
P02-A12,P02,P02-CA04,P02-WP042,1.02.4.2,Install Switchgear / VFDs,Task,20,2025-11-13,2025-12-10,Approved P02 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-07-17,2025-08-13,2025-11-13,2025-12-10,2025-12-04,2025-12-31,15,FALSE
P02-A7d,P02,P02-CA04,P02-WP041,1.02.4.1,Delivery & Receiving — Pumps & Motors,Task,8,2025-11-17,2025-11-26,Approved realism audit,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-07-21,2025-07-30,2025-11-17,2025-11-26,2025-11-17,2025-11-26,0,TRUE
P02-A10,P02,P02-CA04,P02-WP041,1.02.4.1,Install New Pumps & Motors,Task,25,2025-11-27,2025-12-31,Approved P02 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-07-31,2025-09-03,2025-11-27,2025-12-31,2025-11-27,2025-12-31,0,TRUE
P02-A14,P02,P02-CA05,P02-WP051,1.02.5.1,Startup & Functional Testing,Task,10,2026-01-01,2026-01-14,Approved P02 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-09-04,2025-09-17,2026-01-01,2026-01-14,2026-01-01,2026-01-14,0,TRUE
P02-A15,P02,P02-CA05,P02-WP051,1.02.5.1,Bypass Deactivation / Cutover,Task,5,2026-01-15,2026-01-21,Approved P02 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-09-18,2025-09-24,2026-01-15,2026-01-21,2026-01-15,2026-01-21,0,TRUE
P02-A15b,P02,P02-CA04,P02-WP041,1.02.4.1,Final Inspection & Punch List,Task,10,2026-01-22,2026-02-04,Approved realism audit,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-09-25,2025-10-08,2026-01-22,2026-02-04,2026-02-12,2026-02-25,15,FALSE
P02-A16,P02,P02-CA06,P02-WP061,1.02.6.1,Documentation & Turnover,Task,10,2026-01-22,2026-02-04,Approved P02 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-09-25,2025-10-08,2026-01-22,2026-02-04,2026-01-22,2026-02-04,0,TRUE
P02-A17,P02,P02-CA06,P02-WP062,1.02.6.2,Financial Closeout,Task,15,2026-02-05,2026-02-25,Approved P02 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-10-09,2025-10-29,2026-02-05,2026-02-25,2026-02-05,2026-02-25,0,TRUE
P02-M4,P02,P02-CA05,P02-WP051,1.02.5.1,Substantial Completion,Milestone,0,2026-02-04,2026-02-04,Approved P02 milestone; renamed in recovered export to avoid collision with existing final milestone ID,"ID normalized to documented original P02 M4 Substantial Completion; provisional milestone date remains unverified | Scenario dates calculated from reconstructed logic, not source recovered",2025-10-09,2025-10-09,2026-02-04,2026-02-04,2026-02-25,2026-02-25,15,FALSE
P02-M5,P02,P02-CA04,P02-WP041,1.02.4.1,Final Completion,Milestone,0,2026-02-25,2026-02-25,Approved milestone / interface milestone,"Source-explicit validated finish date | Scenario dates calculated from reconstructed logic, not source recovered",2026-04-01,2026-04-01,2026-02-25,2026-02-25,2026-02-25,2026-02-25,0,TRUE
P03-A1,P03,P03-CA01,P03-WP011,1.03.1.1,Conduct Needs Assessment,Task,15,2025-01-02,2025-01-22,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-01-02,2025-01-22,2025-01-02,2025-01-22,2025-01-02,2025-01-22,0,TRUE
P03-A2,P03,P03-CA01,P03-WP012,1.03.1.2,Finalize Project Definition & Scope,Task,10,2025-01-23,2025-02-05,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-01-23,2025-02-05,2025-01-23,2025-02-05,2025-01-23,2025-02-05,0,TRUE
P03-A2b,P03,P03-CA02,P03-WP022,1.03.2.2,Regulatory Pre-Design Coordination,Task,10,2025-02-06,2025-02-19,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-02-06,2025-02-19,2025-02-06,2025-02-19,2025-02-06,2025-02-19,0,TRUE
P03-A3,P03,P03-CA02,P03-WP021,1.03.2.1,Preliminary Design (30%),Task,40,2025-02-20,2025-04-16,"Synthetic, industry-informed","Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-02-20,2025-04-16,2025-02-20,2025-04-16,2025-02-20,2025-04-16,0,TRUE
P03-A4,P03,P03-CA02,P03-WP021,1.03.2.1,Design Review Gate 1 (30% review & comment resolution),Task,15,2025-04-17,2025-05-07,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-04-17,2025-05-07,2025-04-17,2025-05-07,2025-04-17,2025-05-07,0,TRUE
P03-A5,P03,P03-CA02,P03-WP022,1.03.2.2,60%/90% Design Development,Task,30,2025-05-08,2025-06-18,"Synthetic, industry-informed","Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-05-08,2025-06-18,2025-05-08,2025-06-18,2025-05-08,2025-06-18,0,TRUE
P03-A6,P03,P03-CA02,P03-WP022,1.03.2.2,Design Review Gate 2 (90% review & comment resolution),Task,15,2025-06-19,2025-07-09,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-06-19,2025-07-09,2025-06-19,2025-07-09,2025-06-19,2025-07-09,0,TRUE
P03-A7,P03,P03-CA02,P03-WP022,1.03.2.2,Final Design (100%),Task,20,2025-06-26,2025-07-23,"Synthetic, industry-informed","BLOCKED: source-versus-reconstructed milestone/sequence inconsistency; see focused reconciliation QA report | Scenario dates calculated from reconstructed logic, not source recovered",2025-07-10,2025-08-06,2025-06-26,2025-07-23,2025-06-26,2025-07-23,0,TRUE
P03-I-P03-01,P03,P03-CA04,P03-WP042,1.03.4.2,Controls / I/O Design Freeze,Milestone,0,2025-07-23,2025-07-23,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2025-07-23,2025-07-23,2025-07-23,2025-07-23,2027-01-27,2027-01-27,395,FALSE
P03-M1,P03,P03-CA04,P03-WP041,1.03.4.1,Design Complete,Milestone,0,2025-07-23,2025-07-23,Approved milestone / interface milestone,"BLOCKED: source-versus-reconstructed milestone/sequence inconsistency; see focused reconciliation QA report | Scenario dates calculated from reconstructed logic, not source recovered",2025-07-23,2025-07-23,2025-07-23,2025-07-23,2027-01-27,2027-01-27,395,FALSE
P03-A8,P03,P03-CA03,P03-WP031,1.03.3.1,Prepare & Advertise Bid Package,Task,20,2025-07-10,2025-08-06,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-07-24,2025-08-20,2025-07-10,2025-08-06,2025-07-10,2025-08-06,0,TRUE
P03-A7b,P03,P03-CA02,P03-WP022,1.03.2.2,Regulatory Plan Review & Approval,Task,30,2025-07-24,2025-09-03,"Synthetic, industry-informed","Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-08-07,2025-09-17,2025-07-24,2025-09-03,2025-08-07,2025-09-17,10,FALSE
P03-A9,P03,P03-CA03,P03-WP031,1.03.3.1,"Bid Evaluation, Selection & Award Recommendation",Task,15,2025-08-07,2025-08-27,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-08-21,2025-09-10,2025-08-07,2025-08-27,2025-08-07,2025-08-27,0,TRUE
P03-A9b,P03,P03-CA03,P03-WP032,1.03.3.2,Governing Body Award Approval,Task,15,2025-08-28,2025-09-17,Approved P03 v2 explicit replacement for +15bd lag,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-09-11,2025-10-01,2025-08-28,2025-09-17,2025-08-28,2025-09-17,0,TRUE
P03-M2,P03,P03-CA04,P03-WP041,1.03.4.1,Contract Award / NTP,Milestone,0,2025-09-17,2025-09-17,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2025-10-01,2025-10-01,2025-09-17,2025-09-17,2025-09-17,2025-09-17,0,TRUE
P03-A10,P03,P03-CA03,P03-WP032,1.03.3.2,Contractor Mobilization,Task,20,2025-09-18,2025-10-15,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-10-02,2025-10-29,2025-09-18,2025-10-15,2026-12-31,2027-01-27,335,FALSE
P03-A11,P03,P03-CA04,P03-WP041,1.03.4.1,Process Equipment Submittal & Shop Drawing Review,Task,20,2025-09-18,2025-10-15,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-10-02,2025-10-29,2025-09-18,2025-10-15,2025-09-18,2025-10-15,0,TRUE
P03-A16,P03,P03-CA04,P03-WP042,1.03.4.2,Electrical/I&C Submittal & Shop Drawing Review,Task,20,2025-09-18,2025-10-15,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-10-02,2025-10-29,2025-09-18,2025-10-15,2025-11-24,2025-12-19,47,FALSE
