WBS_Code,WBS_Level,Project_ID,Project_Name,Control_Account_ID,Control_Account_Name,Work_Package_ID,Work_Package_Name,Standard_Lifecycle_Phase,Responsible_Role,Description
1.03.5.2,4,P03,Central Water Treatment Plant Process Upgrade,P03-CA05,Testing & Commissioning,P03-WP052,Performance / Acceptance Testing,Testing & Commissioning,Commissioning Lead,Conduct performance testing against design criteria and regulatory treatment standards.
1.03.5.3,4,P03,Central Water Treatment Plant Process Upgrade,P03-CA05,Testing & Commissioning,P03-WP053,Regulatory Sign-off & SCADA Integration Checkout,Testing & Commissioning,Commissioning Lead,Coordinate state regulatory sign-off and verify full SCADA integration prior to substantial completion.
1.03.6,3,P03,Central Water Treatment Plant Process Upgrade,P03-CA06,Closeout,,,Closeout,Project Manager,"Closeout phase for Central Water Treatment Plant Process Upgrade: complete punch-list items, finalize documentation, and transfer the asset to operations."
1.03.6.1,4,P03,Central Water Treatment Plant Process Upgrade,P03-CA06,Closeout,P03-WP061,Documentation & Turnover,Closeout,Project Manager,Compile as-built documentation and turn over the completed asset to operations for Central Water Treatment Plant Process Upgrade.
1.03.6.2,4,P03,Central Water Treatment Plant Process Upgrade,P03-CA06,Closeout,P03-WP062,Financial Closeout,Closeout,Project Manager,"Reconcile final costs, close out contracts, and complete financial closeout for Central Water Treatment Plant Process Upgrade."
1.04.1,3,P04,Hilltop Storage Tank Rehabilitation,P04-CA01,Planning,,,Planning,Program Controls / Planning Lead,"Planning phase for Hilltop Storage Tank Rehabilitation: confirm scope, budget, and regulatory requirements, and align with the overall program schedule."
1.04.1.1,4,P04,Hilltop Storage Tank Rehabilitation,P04-CA01,Planning,P04-WP011,Needs Assessment,Planning,Program Controls / Planning Lead,"Confirm the justification, condition assessment, and need for Hilltop Storage Tank Rehabilitation."
1.04.1.2,4,P04,Hilltop Storage Tank Rehabilitation,P04-CA01,Planning,P04-WP012,Project Definition,Planning,Program Controls / Planning Lead,"Finalize scope boundaries, success criteria, and program alignment for Hilltop Storage Tank Rehabilitation."
1.04.2,3,P04,Hilltop Storage Tank Rehabilitation,P04-CA02,Design,,,Design,Design Engineer (Consultant),Design phase for Hilltop Storage Tank Rehabilitation: develop and finalize engineering design to support procurement and construction.
1.04.2.1,4,P04,Hilltop Storage Tank Rehabilitation,P04-CA02,Design,P04-WP021,Preliminary Design (30%),Design,Design Engineer (Consultant),Develop preliminary (~30%) design concepts and basis of design for Hilltop Storage Tank Rehabilitation.
1.04.2.2,4,P04,Hilltop Storage Tank Rehabilitation,P04-CA02,Design,P04-WP022,Final Design (100%),Design,Design Engineer (Consultant),Complete final (100%) design documents and specifications for Hilltop Storage Tank Rehabilitation.
1.04.3,3,P04,Hilltop Storage Tank Rehabilitation,P04-CA03,Procurement,,,Procurement,Procurement & Contracts Lead,"Procurement phase for Hilltop Storage Tank Rehabilitation: solicit, award, and execute construction and/or equipment contracts."
1.04.3.1,4,P04,Hilltop Storage Tank Rehabilitation,P04-CA03,Procurement,P04-WP031,Bid Package & Solicitation,Procurement,Procurement & Contracts Lead,Prepare bid documents and solicit contractor/vendor proposals for Hilltop Storage Tank Rehabilitation.
1.04.3.2,4,P04,Hilltop Storage Tank Rehabilitation,P04-CA03,Procurement,P04-WP032,Award & Mobilization,Procurement,Procurement & Contracts Lead,Award the contract and mobilize the contractor/vendor for Hilltop Storage Tank Rehabilitation.
1.04.4,3,P04,Hilltop Storage Tank Rehabilitation,P04-CA04,Construction,,,Construction,Construction Manager / Contractor,"Construction phase for Hilltop Storage Tank Rehabilitation: execute physical construction, installation, or implementation work."
1.04.4.1,4,P04,Hilltop Storage Tank Rehabilitation,P04-CA04,Construction,P04-WP041,Tank Interior/Exterior Coating,Construction,Construction Manager / Contractor,Prepare surfaces and apply new interior and exterior protective coating systems to the storage tank.
1.04.4.2,4,P04,Hilltop Storage Tank Rehabilitation,P04-CA04,Construction,P04-WP042,Structural Steel Repairs,Construction,Construction Manager / Contractor,Repair or replace corroded structural steel members identified during inspection.
1.04.4.3,4,P04,Hilltop Storage Tank Rehabilitation,P04-CA04,Construction,P04-WP043,Cathodic Protection System Installation,Construction,Construction Manager / Contractor,Install a new impressed-current cathodic protection system to mitigate future corrosion.
1.04.5,3,P04,Hilltop Storage Tank Rehabilitation,P04-CA05,Testing & Commissioning,,,Testing & Commissioning,Commissioning Lead,"Testing & Commissioning phase for Hilltop Storage Tank Rehabilitation: test, start up, and verify system performance prior to acceptance."
1.04.5.1,4,P04,Hilltop Storage Tank Rehabilitation,P04-CA05,Testing & Commissioning,P04-WP051,Startup & Functional Testing,Testing & Commissioning,Commissioning Lead,Perform startup and functional testing of completed work for Hilltop Storage Tank Rehabilitation.
1.04.6,3,P04,Hilltop Storage Tank Rehabilitation,P04-CA06,Closeout,,,Closeout,Project Manager,"Closeout phase for Hilltop Storage Tank Rehabilitation: complete punch-list items, finalize documentation, and transfer the asset to operations."
1.04.6.1,4,P04,Hilltop Storage Tank Rehabilitation,P04-CA06,Closeout,P04-WP061,Documentation & Turnover,Closeout,Project Manager,Compile as-built documentation and turn over the completed asset to operations for Hilltop Storage Tank Rehabilitation.
1.04.6.2,4,P04,Hilltop Storage Tank Rehabilitation,P04-CA06,Closeout,P04-WP062,Financial Closeout,Closeout,Project Manager,"Reconcile final costs, close out contracts, and complete financial closeout for Hilltop Storage Tank Rehabilitation."
1.05.1,3,P05,Lead Service Line Replacement - Phase 1,P05-CA01,Planning,,,Planning,Program Controls / Planning Lead,"Planning phase for Lead Service Line Replacement - Phase 1: confirm scope, budget, and regulatory requirements, and align with the overall program schedule."
1.05.1.1,4,P05,Lead Service Line Replacement - Phase 1,P05-CA01,Planning,P05-WP011,Needs Assessment,Planning,Program Controls / Planning Lead,"Confirm the justification, condition assessment, and need for Lead Service Line Replacement - Phase 1."
1.05.1.2,4,P05,Lead Service Line Replacement - Phase 1,P05-CA01,Planning,P05-WP012,Project Definition,Planning,Program Controls / Planning Lead,"Finalize scope boundaries, success criteria, and program alignment for Lead Service Line Replacement - Phase 1."
1.05.2,3,P05,Lead Service Line Replacement - Phase 1,P05-CA02,Design,,,Design,Design Engineer (Consultant),Design phase for Lead Service Line Replacement - Phase 1: develop and finalize engineering design to support procurement and construction.
1.05.2.1,4,P05,Lead Service Line Replacement - Phase 1,P05-CA02,Design,P05-WP021,Preliminary Design (30%),Design,Design Engineer (Consultant),Develop preliminary (~30%) design concepts and basis of design for Lead Service Line Replacement - Phase 1.
1.05.2.2,4,P05,Lead Service Line Replacement - Phase 1,P05-CA02,Design,P05-WP022,Final Design (100%),Design,Design Engineer (Consultant),Complete final (100%) design documents and specifications for Lead Service Line Replacement - Phase 1.
1.05.3,3,P05,Lead Service Line Replacement - Phase 1,P05-CA03,Procurement,,,Procurement,Procurement & Contracts Lead,"Procurement phase for Lead Service Line Replacement - Phase 1: solicit, award, and execute construction and/or equipment contracts."
1.05.3.1,4,P05,Lead Service Line Replacement - Phase 1,P05-CA03,Procurement,P05-WP031,Bid Package & Solicitation,Procurement,Procurement & Contracts Lead,Prepare bid documents and solicit contractor/vendor proposals for Lead Service Line Replacement - Phase 1.
1.05.3.2,4,P05,Lead Service Line Replacement - Phase 1,P05-CA03,Procurement,P05-WP032,Award & Mobilization,Procurement,Procurement & Contracts Lead,Award the contract and mobilize the contractor/vendor for Lead Service Line Replacement - Phase 1.
1.05.4,3,P05,Lead Service Line Replacement - Phase 1,P05-CA04,Construction,,,Construction,Construction Manager / Contractor,"Construction phase for Lead Service Line Replacement - Phase 1: execute physical construction, installation, or implementation work."
1.05.4.1,4,P05,Lead Service Line Replacement - Phase 1,P05-CA04,Construction,P05-WP041,Service Line Excavation & Replacement,Construction,Construction Manager / Contractor,Excavate and replace individual lead service lines with new copper or approved alternative piping.
1.05.4.2,4,P05,Lead Service Line Replacement - Phase 1,P05-CA04,Construction,P05-WP042,Property Restoration,Construction,Construction Manager / Contractor,"Restore landscaping, driveways, and other surface features disturbed at each service address."
1.05.4.3,4,P05,Lead Service Line Replacement - Phase 1,P05-CA04,Construction,P05-WP043,Water Quality Sampling & Verification,Construction,Construction Manager / Contractor,Collect and analyze post-replacement water samples to verify compliance with lead action levels.
1.05.5,3,P05,Lead Service Line Replacement - Phase 1,P05-CA05,Testing & Commissioning,,,Testing & Commissioning,Commissioning Lead,"Testing & Commissioning phase for Lead Service Line Replacement - Phase 1: test, start up, and verify system performance prior to acceptance."
1.05.5.1,4,P05,Lead Service Line Replacement - Phase 1,P05-CA05,Testing & Commissioning,P05-WP051,Startup & Functional Testing,Testing & Commissioning,Commissioning Lead,Perform startup and functional testing of completed work for Lead Service Line Replacement - Phase 1.
1.05.6,3,P05,Lead Service Line Replacement - Phase 1,P05-CA06,Closeout,,,Closeout,Project Manager,"Closeout phase for Lead Service Line Replacement - Phase 1: complete punch-list items, finalize documentation, and transfer the asset to operations."
1.05.6.1,4,P05,Lead Service Line Replacement - Phase 1,P05-CA06,Closeout,P05-WP061,Documentation & Turnover,Closeout,Project Manager,Compile as-built documentation and turn over the completed asset to operations for Lead Service Line Replacement - Phase 1.
1.05.6.2,4,P05,Lead Service Line Replacement - Phase 1,P05-CA06,Closeout,P05-WP062,Financial Closeout,Closeout,Project Manager,"Reconcile final costs, close out contracts, and complete financial closeout for Lead Service Line Replacement - Phase 1."
1.06.1,3,P06,AMI / Smart Meter Modernization,P06-CA01,Planning,,,Planning,Program Controls / Planning Lead,"Planning phase for AMI / Smart Meter Modernization: confirm scope, budget, and regulatory requirements, and align with the overall program schedule."
1.06.1.1,4,P06,AMI / Smart Meter Modernization,P06-CA01,Planning,P06-WP011,Needs Assessment,Planning,Program Controls / Planning Lead,"Confirm the justification, condition assessment, and need for AMI / Smart Meter Modernization."
1.06.1.2,4,P06,AMI / Smart Meter Modernization,P06-CA01,Planning,P06-WP012,Project Definition,Planning,Program Controls / Planning Lead,"Finalize scope boundaries, success criteria, and program alignment for AMI / Smart Meter Modernization."
1.06.2,3,P06,AMI / Smart Meter Modernization,P06-CA02,Design,,,Design,Design Engineer (Consultant),Design phase for AMI / Smart Meter Modernization: develop and finalize engineering design to support procurement and construction.
1.06.2.1,4,P06,AMI / Smart Meter Modernization,P06-CA02,Design,P06-WP021,Preliminary Design (30%),Design,Design Engineer (Consultant),Develop preliminary (~30%) design concepts and basis of design for AMI / Smart Meter Modernization.
1.06.2.2,4,P06,AMI / Smart Meter Modernization,P06-CA02,Design,P06-WP022,Final Design (100%),Design,Design Engineer (Consultant),Complete final (100%) design documents and specifications for AMI / Smart Meter Modernization.
1.06.3,3,P06,AMI / Smart Meter Modernization,P06-CA03,Procurement,,,Procurement,Procurement & Contracts Lead,"Procurement phase for AMI / Smart Meter Modernization: solicit, award, and execute construction and/or equipment contracts."
1.06.3.1,4,P06,AMI / Smart Meter Modernization,P06-CA03,Procurement,P06-WP031,Bid Package & Solicitation,Procurement,Procurement & Contracts Lead,Prepare bid documents and solicit contractor/vendor proposals for AMI / Smart Meter Modernization.
1.06.3.2,4,P06,AMI / Smart Meter Modernization,P06-CA03,Procurement,P06-WP032,Award & Mobilization,Procurement,Procurement & Contracts Lead,Award the contract and mobilize the contractor/vendor for AMI / Smart Meter Modernization.
1.06.4,3,P06,AMI / Smart Meter Modernization,P06-CA04,Construction,,,Construction,Construction Manager / Contractor,"Construction phase for AMI / Smart Meter Modernization: execute physical construction, installation, or implementation work."
1.06.4.1,4,P06,AMI / Smart Meter Modernization,P06-CA04,Construction,P06-WP041,Meter Deployment & Installation,Construction,Construction Manager / Contractor,Remove existing meters and install new AMI-compatible meters at customer premises.
1.06.4.2,4,P06,AMI / Smart Meter Modernization,P06-CA04,Construction,P06-WP042,Head-End System Integration,Construction,Construction Manager / Contractor,Install and configure the head-end data collection system and network gateways.
1.06.4.3,4,P06,AMI / Smart Meter Modernization,P06-CA04,Construction,P06-WP043,Customer Data Migration & Validation,Construction,Construction Manager / Contractor,Migrate existing customer account and consumption data into the new metering platform and validate accuracy.
1.06.5,3,P06,AMI / Smart Meter Modernization,P06-CA05,Testing & Commissioning,,,Testing & Commissioning,Commissioning Lead,"Testing & Commissioning phase for AMI / Smart Meter Modernization: test, start up, and verify system performance prior to acceptance."
1.06.5.1,4,P06,AMI / Smart Meter Modernization,P06-CA05,Testing & Commissioning,P06-WP051,Startup & Functional Testing,Testing & Commissioning,Commissioning Lead,Perform startup and functional testing of completed work for AMI / Smart Meter Modernization.
1.06.6,3,P06,AMI / Smart Meter Modernization,P06-CA06,Closeout,,,Closeout,Project Manager,"Closeout phase for AMI / Smart Meter Modernization: complete punch-list items, finalize documentation, and transfer the asset to operations."
1.06.6.1,4,P06,AMI / Smart Meter Modernization,P06-CA06,Closeout,P06-WP061,Documentation & Turnover,Closeout,Project Manager,Compile as-built documentation and turn over the completed asset to operations for AMI / Smart Meter Modernization.
1.06.6.2,4,P06,AMI / Smart Meter Modernization,P06-CA06,Closeout,P06-WP062,Financial Closeout,Closeout,Project Manager,"Reconcile final costs, close out contracts, and complete financial closeout for AMI / Smart Meter Modernization."
1.07.1,3,P07,East Zone Pressure Management Improvements,P07-CA01,Planning,,,Planning,Program Controls / Planning Lead,"Planning phase for East Zone Pressure Management Improvements: confirm scope, budget, and regulatory requirements, and align with the overall program schedule."
1.07.1.1,4,P07,East Zone Pressure Management Improvements,P07-CA01,Planning,P07-WP011,Needs Assessment,Planning,Program Controls / Planning Lead,"Confirm the justification, condition assessment, and need for East Zone Pressure Management Improvements."
1.07.1.2,4,P07,East Zone Pressure Management Improvements,P07-CA01,Planning,P07-WP012,Project Definition,Planning,Program Controls / Planning Lead,"Finalize scope boundaries, success criteria, and program alignment for East Zone Pressure Management Improvements."
1.07.2,3,P07,East Zone Pressure Management Improvements,P07-CA02,Design,,,Design,Design Engineer (Consultant),Design phase for East Zone Pressure Management Improvements: develop and finalize engineering design to support procurement and construction.
1.07.2.1,4,P07,East Zone Pressure Management Improvements,P07-CA02,Design,P07-WP021,Preliminary Design (30%),Design,Design Engineer (Consultant),Develop preliminary (~30%) design concepts and basis of design for East Zone Pressure Management Improvements.
1.07.2.2,4,P07,East Zone Pressure Management Improvements,P07-CA02,Design,P07-WP022,Final Design (100%),Design,Design Engineer (Consultant),Complete final (100%) design documents and specifications for East Zone Pressure Management Improvements.
1.07.3,3,P07,East Zone Pressure Management Improvements,P07-CA03,Procurement,,,Procurement,Procurement & Contracts Lead,"Procurement phase for East Zone Pressure Management Improvements: solicit, award, and execute construction and/or equipment contracts."
1.07.3.1,4,P07,East Zone Pressure Management Improvements,P07-CA03,Procurement,P07-WP031,Bid Package & Solicitation,Procurement,Procurement & Contracts Lead,Prepare bid documents and solicit contractor/vendor proposals for East Zone Pressure Management Improvements.
1.07.3.2,4,P07,East Zone Pressure Management Improvements,P07-CA03,Procurement,P07-WP032,Award & Mobilization,Procurement,Procurement & Contracts Lead,Award the contract and mobilize the contractor/vendor for East Zone Pressure Management Improvements.
1.07.4,3,P07,East Zone Pressure Management Improvements,P07-CA04,Construction,,,Construction,Construction Manager / Contractor,"Construction phase for East Zone Pressure Management Improvements: execute physical construction, installation, or implementation work."
1.07.4.1,4,P07,East Zone Pressure Management Improvements,P07-CA04,Construction,P07-WP041,PRV Station Installation,Construction,Construction Manager / Contractor,Construct new pressure-reducing valve vaults and install PRV equipment at designated zone boundaries.
1.07.4.2,4,P07,East Zone Pressure Management Improvements,P07-CA04,Construction,P07-WP042,Zone Isolation Valve Installation,Construction,Construction Manager / Contractor,Install new isolation valves to establish discrete pressure zone boundaries.
1.07.4.3,4,P07,East Zone Pressure Management Improvements,P07-CA04,Construction,P07-WP043,Pressure Monitoring Instrumentation,Construction,Construction Manager / Contractor,Install remote pressure monitoring sensors and telemetry at key system locations.
1.07.5,3,P07,East Zone Pressure Management Improvements,P07-CA05,Testing & Commissioning,,,Testing & Commissioning,Commissioning Lead,"Testing & Commissioning phase for East Zone Pressure Management Improvements: test, start up, and verify system performance prior to acceptance."
1.07.5.1,4,P07,East Zone Pressure Management Improvements,P07-CA05,Testing & Commissioning,P07-WP051,Startup & Functional Testing,Testing & Commissioning,Commissioning Lead,Perform startup and functional testing of completed work for East Zone Pressure Management Improvements.
1.07.6,3,P07,East Zone Pressure Management Improvements,P07-CA06,Closeout,,,Closeout,Project Manager,"Closeout phase for East Zone Pressure Management Improvements: complete punch-list items, finalize documentation, and transfer the asset to operations."
