Cost_Ownership_Line_ID,Project_ID,Activity_ID,Funded_Cost_WP_ID,Component_BAC_USD,Baseline_Start,Baseline_Finish,Synthetic_Start,Synthetic_Finish_or_Gate,Recognition_Rule,Scenario_Status,Status_Date,Measured_Completion_Pct,Cumulative_EV_USD,Cumulative_AC_USD,Scenario_Assumption,Actual_Record_Provenance
CL0021,P01,P01-A14,P01-WP062,77700.00,2025-12-09,2025-12-29,2025-12-09,2025-12-29,FINAL_GATE,CLOSED,2026-03-31,100,77700.00,77700.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0022,P02,P02-A1,P02-WP011,132000.00,2025-02-03,2025-02-14,2025-02-03,2025-02-14,WORKDAY_SPREAD,CLOSED,2026-03-31,100,132000.00,145200.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0023,P02,P02-A2,P02-WP012,132000.00,2025-02-17,2025-02-21,2025-02-17,2025-02-21,WORKDAY_SPREAD,CLOSED,2026-03-31,100,132000.00,145200.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0024,P02,P02-A3,P02-WP021,277200.00,2025-02-24,2025-03-21,2025-02-24,2025-03-21,WORKDAY_SPREAD,CLOSED,2026-03-31,100,277200.00,304920.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0025,P02,P02-A4,P02-WP022,257400.00,2025-03-24,2025-04-25,2025-03-24,2025-04-25,WORKDAY_SPREAD,CLOSED,2026-03-31,100,257400.00,283140.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0026,P02,P02-A4b,P02-WP022,257400.00,2025-04-28,2025-05-23,2025-04-28,2025-05-23,WORKDAY_SPREAD,CLOSED,2026-03-31,100,257400.00,283140.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0027,P02,P02-A5,P02-WP031,107800.00,2025-04-14,2025-05-02,2025-04-14,2025-05-02,WORKDAY_SPREAD,CLOSED,2026-03-31,100,107800.00,118580.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0028,P02,P02-A5b,P02-WP031,107800.00,2025-05-05,2025-05-16,2025-05-05,2025-05-16,WORKDAY_SPREAD,CLOSED,2026-03-31,100,107800.00,118580.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0029,P02,P02-A6,P02-WP032,400400.00,2025-06-02,2025-06-13,2025-06-02,2025-06-13,WORKDAY_SPREAD,CLOSED,2026-03-31,100,400400.00,440440.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0030,P02,P02-A6b,P02-WP041,190080.00,2025-02-03,2025-02-21,2025-02-03,2025-02-21,WORKDAY_SPREAD,CLOSED,2026-03-31,100,190080.00,209088.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0031,P02,P02-A7a,P02-WP041,190080.00,2025-06-02,2025-06-27,2025-06-02,2025-06-27,PROCUREMENT_20_30_30_20,CLOSED,2026-03-31,100,190080.00,212889.60,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0032,P02,P02-A8,P02-WP041,190080.00,2025-06-16,2025-06-27,2025-06-16,2025-06-27,WORKDAY_FALLBACK,CLOSED,2026-03-31,100,190080.00,209088.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0033,P02,P02-A7b,P02-WP041,760320.00,2025-06-30,2025-10-31,2025-06-30,2025-10-31,PROCUREMENT_20_30_30_20,CLOSED,2026-03-31,100,760320.00,851558.40,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0034,P02,P02-A9,P02-WP041,190080.00,2025-06-30,2025-07-18,2025-06-30,2025-07-18,WORKDAY_SPREAD,CLOSED,2026-03-31,100,190080.00,209088.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0035,P02,P02-A7c,P02-WP041,190080.00,2025-11-03,2025-11-14,2025-11-03,2025-11-14,WORKDAY_SPREAD,CLOSED,2026-03-31,100,190080.00,209088.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0036,P02,P02-A7d,P02-WP041,760320.00,2025-11-17,2025-11-26,2025-11-17,2025-11-26,PROCUREMENT_20_30_30_20,CLOSED,2026-03-31,100,760320.00,851558.40,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0037,P02,P02-A10,P02-WP041,190080.00,2025-11-27,2025-12-31,2025-11-27,2025-12-31,WORKDAY_FALLBACK,CLOSED,2026-03-31,100,190080.00,209088.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0038,P02,P02-A15b,P02-WP041,380160.00,2026-01-22,2026-02-04,2026-01-22,2026-02-04,FINAL_GATE,CLOSED,2026-03-31,100,380160.00,418176.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0039,P02,P02-A11a,P02-WP042,221760.00,2025-06-02,2025-06-27,2025-06-02,2025-06-27,PROCUREMENT_20_30_30_20,CLOSED,2026-03-31,100,221760.00,248371.20,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0040,P02,P02-A6c,P02-WP042,221760.00,2025-02-03,2025-02-21,2025-02-03,2025-02-21,WORKDAY_SPREAD,CLOSED,2026-03-31,100,221760.00,243936.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0041,P02,P02-A11b,P02-WP042,887040.00,2025-06-30,2025-10-17,2025-06-30,2025-10-17,PROCUREMENT_20_30_30_20,CLOSED,2026-03-31,100,887040.00,993484.80,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0042,P02,P02-A11c,P02-WP042,221760.00,2025-10-20,2025-10-31,2025-10-20,2025-10-31,WORKDAY_SPREAD,CLOSED,2026-03-31,100,221760.00,243936.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0043,P02,P02-A11d,P02-WP042,887040.00,2025-11-03,2025-11-12,2025-11-03,2025-11-12,PROCUREMENT_20_30_30_20,CLOSED,2026-03-31,100,887040.00,993484.80,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0044,P02,P02-A12,P02-WP042,221760.00,2025-11-13,2025-12-10,2025-11-13,2025-12-10,WORKDAY_FALLBACK,CLOSED,2026-03-31,100,221760.00,243936.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0045,P02,P02-A13,P02-WP043,633600.00,2025-07-21,2025-08-15,2025-07-21,2025-08-15,WORKDAY_SPREAD,CLOSED,2026-03-31,100,633600.00,696960.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0046,P02,P02-A14,P02-WP051,264000.00,2026-01-01,2026-01-14,2026-01-01,2026-01-14,FINAL_GATE,CLOSED,2026-03-31,100,264000.00,290400.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0047,P02,P02-A15,P02-WP051,264000.00,2026-01-15,2026-01-21,2026-01-15,2026-01-21,FINAL_GATE,CLOSED,2026-03-31,100,264000.00,290400.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0048,P02,P02-A16,P02-WP061,171600.00,2026-01-22,2026-02-04,2026-01-22,2026-02-04,FINAL_GATE,CLOSED,2026-03-31,100,171600.00,188760.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0049,P02,P02-A17,P02-WP062,92400.00,2026-02-05,2026-02-25,2026-02-05,2026-02-25,FINAL_GATE,CLOSED,2026-03-31,100,92400.00,101640.00,SYNTHETIC_SCENARIO_V1; Completed; mechanical equipment experienced cost pressure.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0050,P03,P03-A1,P03-WP011,274050.00,2025-01-02,2025-01-22,2025-01-13,2025-01-31,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,274050.00,304195.50,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0051,P03,P03-A2,P03-WP012,334950.00,2025-01-23,2025-02-05,2025-02-03,2025-02-14,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,334950.00,371794.50,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0052,P03,P03-A3,P03-WP021,292320.00,2025-02-20,2025-04-16,2025-03-03,2025-04-25,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,292320.00,324475.20,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0053,P03,P03-A4,P03-WP021,292320.00,2025-04-17,2025-05-07,2025-04-24,2025-05-14,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,292320.00,324475.20,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0054,P03,P03-A2b,P03-WP022,138040.00,2025-02-06,2025-02-19,2025-02-13,2025-02-26,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,138040.00,153224.40,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0055,P03,P03-A5,P03-WP022,414120.00,2025-05-08,2025-06-18,2025-05-19,2025-06-27,WORKDAY_FALLBACK,ACTIVE,2026-03-31,100,414120.00,459673.20,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0056,P03,P03-A6,P03-WP022,138040.00,2025-06-19,2025-07-09,2025-06-30,2025-07-18,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,138040.00,149083.20,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0057,P03,P03-A7,P03-WP022,138040.00,2025-06-26,2025-07-23,2025-07-07,2025-08-01,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,138040.00,153224.40,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0058,P03,P03-A7b,P03-WP022,138040.00,2025-07-24,2025-09-03,2025-07-31,2025-09-10,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,138040.00,149083.20,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0059,P03,P03-A30,P03-WP022,276080.00,2026-11-05,2026-12-02,2026-11-05,2026-12-11,FINAL_GATE,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0060,P03,P03-A8,P03-WP031,248675.00,2025-07-10,2025-08-06,2025-07-21,2025-08-15,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,248675.00,276029.25,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0061,P03,P03-A9,P03-WP031,248675.00,2025-08-07,2025-08-27,2025-08-18,2025-09-05,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,248675.00,276029.25,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0062,P03,P03-A9b,P03-WP032,461825.00,2025-08-28,2025-09-17,2025-09-08,2025-09-26,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,461825.00,512625.75,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0063,P03,P03-A10,P03-WP032,461825.00,2025-09-18,2025-10-15,2025-09-25,2025-10-22,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,461825.00,512625.75,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0064,P03,P03-A11,P03-WP041,434659.00,2025-09-18,2025-10-15,2025-09-29,2025-10-24,PROCUREMENT_20_30_30_20,ACTIVE,2026-03-31,100,434659.00,491164.67,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0065,P03,P03-A12,P03-WP041,1738635.00,2025-10-16,2026-03-04,2025-10-27,2026-03-13,PROCUREMENT_20_30_30_20,ACTIVE,2026-03-31,100,1738635.00,1912498.50,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0066,P03,P03-A13,P03-WP041,434659.00,2026-03-05,2026-03-25,2026-03-16,2026-04-03,PROCUREMENT_20_30_30_20,ACTIVE,2026-03-31,50,217329.50,249928.92,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0067,P03,P03-A14,P03-WP041,1738635.00,2026-03-26,2026-04-08,2026-04-02,2026-04-15,PROCUREMENT_20_30_30_20,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0068,P03,P03-A15,P03-WP041,2173294.00,2026-04-09,2026-07-01,2026-04-09,2026-07-10,WORKDAY_FALLBACK,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0069,P03,P03-A29,P03-WP041,869318.00,2026-09-10,2026-09-30,2026-09-10,2026-10-09,FINAL_GATE,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0070,P03,P03-A16,P03-WP042,355250.00,2025-09-18,2025-10-15,2025-09-29,2025-10-24,PROCUREMENT_20_30_30_20,ACTIVE,2026-03-31,100,355250.00,390775.00,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0071,P03,P03-A17,P03-WP042,1421000.00,2025-10-16,2026-02-04,2025-10-27,2026-02-13,PROCUREMENT_20_30_30_20,ACTIVE,2026-03-31,100,1421000.00,1605730.00,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0072,P03,P03-A18,P03-WP042,355250.00,2026-02-05,2026-02-18,2026-02-12,2026-02-25,WORKDAY_SPREAD,ACTIVE,2026-03-31,100,355250.00,383670.00,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0073,P03,P03-A19,P03-WP042,1421000.00,2026-02-19,2026-03-02,2026-02-26,2026-03-09,PROCUREMENT_20_30_30_20,ACTIVE,2026-03-31,100,1421000.00,1563100.00,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0074,P03,P03-A20,P03-WP042,1065750.00,2026-05-07,2026-07-08,2026-05-07,2026-07-17,WORKDAY_FALLBACK,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0075,P03,P03-A25,P03-WP042,355250.00,2026-07-09,2026-08-05,2026-07-09,2026-08-18,WORKDAY_SPREAD,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0076,P03,P03-A21,P03-WP043,153942.00,2025-09-18,2025-10-08,2025-09-29,2025-10-17,PROCUREMENT_20_30_30_20,ACTIVE,2026-03-31,100,153942.00,169336.20,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0077,P03,P03-A22,P03-WP043,615767.00,2025-10-09,2025-12-17,2025-10-20,2025-12-26,PROCUREMENT_20_30_30_20,ACTIVE,2026-03-31,100,615767.00,677343.70,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0078,P03,P03-A23,P03-WP043,615766.00,2025-12-18,2025-12-29,2025-12-29,2026-01-07,PROCUREMENT_20_30_30_20,ACTIVE,2026-03-31,100,615766.00,677342.60,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0079,P03,P03-A24,P03-WP043,461825.00,2026-05-21,2026-06-24,2026-05-21,2026-07-03,WORKDAY_FALLBACK,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0080,P03,P03-A26,P03-WP051,446601.00,2026-08-06,2026-08-26,2026-08-06,2026-09-04,FINAL_GATE,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0081,P03,P03-A27,P03-WP051,446599.00,2026-08-27,2026-10-07,2026-08-27,2026-10-16,FINAL_GATE,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0082,P03,P03-A31,P03-WP061,284200.00,2026-12-03,2026-12-23,2026-12-03,2027-01-01,FINAL_GATE,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0083,P03,P03-A32,P03-WP061,142100.00,2026-12-03,2026-12-30,2026-12-03,2027-01-12,FINAL_GATE,ACTIVE,2026-03-31,0,0.00,0.00,SYNTHETIC_SCENARIO_V1; Treatment equipment approval and construction progressing with modest delivery delay.,SIMULATED_NOT_EXTERNAL_EVIDENCE
